gp_code,gp_name,assigned_block_name,assigned_block_lgd,district_name,state_name
186417,HARNI,PURANDAR,4522,Pune,MAHARASHTRA
186456,PINGORI,PURANDAR,4522,Pune,MAHARASHTRA
186406,DOUNDAJ,PURANDAR,4522,Pune,MAHARASHTRA
186480,VALHE,PURANDAR,4522,Pune,MAHARASHTRA
186459,PISURTI,PURANDAR,4522,Pune,MAHARASHTRA
186421,JEUOR,PURANDAR,4522,Pune,MAHARASHTRA
186455,PIMPARI KH.,PURANDAR,4522,Pune,MAHARASHTRA
186415,GULUNCHE,PURANDAR,4522,Pune,MAHARASHTRA
185380,GADADARWADI,BARAMATI,4512,Pune,MAHARASHTRA
185394,KARANJE,BARAMATI,4512,Pune,MAHARASHTRA
185372,CHAUDHARWADI,BARAMATI,4512,Pune,MAHARASHTRA
186423,KARNALWADI,PURANDAR,4522,Pune,MAHARASHTRA
186463,RAKH,PURANDAR,4522,Pune,MAHARASHTRA
186441,NAVLI,PURANDAR,4522,Pune,MAHARASHTRA
185421,MODHAVE,BARAMATI,4512,Pune,MAHARASHTRA
185424,MURTI,BARAMATI,4512,Pune,MAHARASHTRA
259677,MORALWADI,BARAMATI,4512,Pune,MAHARASHTRA
185411,MAGARWADI,BARAMATI,4512,Pune,MAHARASHTRA
185395,KARNAJPUL,BARAMATI,4512,Pune,MAHARASHTRA
185458,VAKI,BARAMATI,4512,Pune,MAHARASHTRA
185448,SORTEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185425,MURUM,BARAMATI,4512,Pune,MAHARASHTRA
185459,WANEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185457,VAGHALWADI,BARAMATI,4512,Pune,MAHARASHTRA
185400,KHANDOBACHIWADI,BARAMATI,4512,Pune,MAHARASHTRA
185428,NIMBUT,BARAMATI,4512,Pune,MAHARASHTRA
185385,HOL,BARAMATI,4512,Pune,MAHARASHTRA
259675,SADOBACHIWADI,BARAMATI,4512,Pune,MAHARASHTRA
185405,KORHALE KH.,BARAMATI,4512,Pune,MAHARASHTRA
185409,LATE,BARAMATI,4512,Pune,MAHARASHTRA
259678,THOPATEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185407,KURNEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185417,MANPPAWASTI,BARAMATI,4512,Pune,MAHARASHTRA
185415,MALWADILONI,BARAMATI,4512,Pune,MAHARASHTRA
185444,SHIRASHNE,BARAMATI,4512,Pune,MAHARASHTRA
185399,KHANDAJ,BARAMATI,4512,Pune,MAHARASHTRA
185412,MALAD,BARAMATI,4512,Pune,MAHARASHTRA
185435,PAVANEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185443,SHIRAVALI,BARAMATI,4512,Pune,MAHARASHTRA
185439,SANGAVI,BARAMATI,4512,Pune,MAHARASHTRA
185392,KAMBLESHVAR,BARAMATI,4512,Pune,MAHARASHTRA
185378,DHUMALWADI,BARAMATI,4512,Pune,MAHARASHTRA
185434,PAWAIMAL,BARAMATI,4512,Pune,MAHARASHTRA
185431,PANDARE,BARAMATI,4512,Pune,MAHARASHTRA
185447,SONAKASWADI,BARAMATI,4512,Pune,MAHARASHTRA
185413,MALEGAON BK.,BARAMATI,4512,Pune,MAHARASHTRA
185414,MALEGAON KH.,BARAMATI,4512,Pune,MAHARASHTRA
185419,MEDAD,BARAMATI,4512,Pune,MAHARASHTRA
185369,BHARHANPUR,BARAMATI,4512,Pune,MAHARASHTRA
185367,ANJANGAON,BARAMATI,4512,Pune,MAHARASHTRA
185396,KARHAVAGAJ,BARAMATI,4512,Pune,MAHARASHTRA
272754,BHILLARWADI,BARAMATI,4512,Pune,MAHARASHTRA
185387,JALGAON,BARAMATI,4512,Pune,MAHARASHTRA
185388,JALGAON SUPE,BARAMATI,4512,Pune,MAHARASHTRA
185441,SAYABACHIWADI,BARAMATI,4512,Pune,MAHARASHTRA
185376,DHAKALE,BARAMATI,4512,Pune,MAHARASHTRA
185406,KORHALE BK,BARAMATI,4512,Pune,MAHARASHTRA
185423,MUDHALE,BARAMATI,4512,Pune,MAHARASHTRA
185454,VADGAON NI.,BARAMATI,4512,Pune,MAHARASHTRA
259676,SASTEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185373,CHOPADAJ,BARAMATI,4512,Pune,MAHARASHTRA
185430,PALSHIWADI,BARAMATI,4512,Pune,MAHARASHTRA
185410,LONIBHAPKAR,BARAMATI,4512,Pune,MAHARASHTRA
185418,MASALWADI,BARAMATI,4512,Pune,MAHARASHTRA
185451,TARDOLI,BARAMATI,4512,Pune,MAHARASHTRA
185368,BABURDI,BARAMATI,4512,Pune,MAHARASHTRA
185398,KALKHAIREWADI,BARAMATI,4512,Pune,MAHARASHTRA
185370,BHONDVEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185408,KUTAVALWADI,BARAMATI,4512,Pune,MAHARASHTRA
185455,VADHANE,BARAMATI,4512,Pune,MAHARASHTRA
185449,SUPE,BARAMATI,4512,Pune,MAHARASHTRA
185374,DANDAWADI,BARAMATI,4512,Pune,MAHARASHTRA
185426,NAROLI,BARAMATI,4512,Pune,MAHARASHTRA
185432,PANSAREWADI,BARAMATI,4512,Pune,MAHARASHTRA
185402,KARAHATI,BARAMATI,4512,Pune,MAHARASHTRA
185375,DEULAGAON RASAL,BARAMATI,4512,Pune,MAHARASHTRA
185401,KHARKHEL,BARAMATI,4512,Pune,MAHARASHTRA
185445,SONVDISUPE,BARAMATI,4512,Pune,MAHARASHTRA
185452,UNDAWADI K.P.,BARAMATI,4512,Pune,MAHARASHTRA
185390,JARADWADI,BARAMATI,4512,Pune,MAHARASHTRA
185438,SABLEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185453,UNTWADI SUPE,BARAMATI,4512,Pune,MAHARASHTRA
261742,KHARADEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185639,JIREGAON,DAUND,4514,Pune,MAHARASHTRA
185643,KAUTHADI,DAUND,4514,Pune,MAHARASHTRA
185692,VASUNDE,DAUND,4514,Pune,MAHARASHTRA
185404,KOLOLI,BARAMATI,4512,Pune,MAHARASHTRA
185638,HINGANIWADI,DAUND,4514,Pune,MAHARASHTRA
185671,PATAS,DAUND,4514,Pune,MAHARASHTRA
185679,ROTI,DAUND,4514,Pune,MAHARASHTRA
185668,PANDHAREWADI,DAUND,4514,Pune,MAHARASHTRA
185653,KURKUMBHA,DAUND,4514,Pune,MAHARASHTRA
185635,GOPALWADI,DAUND,4514,Pune,MAHARASHTRA
185634,GIRIM,DAUND,4514,Pune,MAHARASHTRA
185682,SONWADI,DAUND,4514,Pune,MAHARASHTRA
185664,NANVIJ,DAUND,4514,Pune,MAHARASHTRA
185633,GAR,DAUND,4514,Pune,MAHARASHTRA
185691,VARVAND,DAUND,4514,Pune,MAHARASHTRA
185654,KUSEGAON,DAUND,4514,Pune,MAHARASHTRA
185667,PADAVI,DAUND,4514,Pune,MAHARASHTRA
185630,DEULGAON GADA,DAUND,4514,Pune,MAHARASHTRA
185690,VAKHARI,DAUND,4514,Pune,MAHARASHTRA
185622,BORIPARTHI,DAUND,4514,Pune,MAHARASHTRA
185644,KEDGAON,DAUND,4514,Pune,MAHARASHTRA
185651,KHUTBAV,DAUND,4514,Pune,MAHARASHTRA
185617,BHANDGAON,DAUND,4514,Pune,MAHARASHTRA
185694,YAVAT,DAUND,4514,Pune,MAHARASHTRA
185642,KASURDI,DAUND,4514,Pune,MAHARASHTRA
185618,BHARATGAON,DAUND,4514,Pune,MAHARASHTRA
186435,MALSHIRAS,PURANDAR,4522,Pune,MAHARASHTRA
186452,PONDHE,PURANDAR,4522,Pune,MAHARASHTRA
185649,KHOR,DAUND,4514,Pune,MAHARASHTRA
186458,PISE,PURANDAR,4522,Pune,MAHARASHTRA
186462,RAJURI,PURANDAR,4522,Pune,MAHARASHTRA
186465,RISE,PURANDAR,4522,Pune,MAHARASHTRA
185366,AMBI KH.,BARAMATI,4512,Pune,MAHARASHTRA
185371,CHANDGUDEWADI,BARAMATI,4512,Pune,MAHARASHTRA
185422,MORAGON,BARAMATI,4512,Pune,MAHARASHTRA
185365,AMBI BK.,BARAMATI,4512,Pune,MAHARASHTRA
186420,JAVALAJUN,PURANDAR,4522,Pune,MAHARASHTRA
185391,JOGAWADI,BARAMATI,4512,Pune,MAHARASHTRA
186438,MAWADI KP.,PURANDAR,4522,Pune,MAHARASHTRA
186443,NAZARE SUPE,PURANDAR,4522,Pune,MAHARASHTRA
186454,PIMPRI,PURANDAR,4522,Pune,MAHARASHTRA
186447,PANDESHWAR,PURANDAR,4522,Pune,MAHARASHTRA
186442,NAYGAON,PURANDAR,4522,Pune,MAHARASHTRA
186439,MAVDISUPE,PURANDAR,4522,Pune,MAHARASHTRA
186457,PISRVE,PURANDAR,4522,Pune,MAHARASHTRA
186401,BHOSALEWADI,PURANDAR,4522,Pune,MAHARASHTRA
186431,KOTHALE,PURANDAR,4522,Pune,MAHARASHTRA
186464,RANMALA,PURANDAR,4522,Pune,MAHARASHTRA
