gp_code,gp_name,dist_to_coast_km,dist_to_water_km
185688,VALKI,135.44,1.0
185652,KOREGAON BHIVAR,134.67,1.28
185685,TELEWADI,131.02,3.93
185672,PATETHAN,126.15,1.89
185674,PILANWADI,126.75,5.45
185676,RAHU,129.8,6.41
185646,KHAMGAON,125.41,11.23
185686,UNDAWADI,128.91,8.97
,,132.48,7.04
,,131.01,7.14
185675,PIMPALGAON,132.85,4.05
185627,DELAWADI,135.5,3.53
,,135.39,5.12
,,136.62,8.22
185632,GALANDWADI,136.83,5.51
185648,KHOPODI,141.36,6.2
185670,PARGAON,140.81,3.29
186551,RANJANGAON SANDAS,139.49,1.42
186536,NAGARGAON,143.46,1.24
186487,ANDHALGAON,144.88,4.32
186530,KURULI,147.52,3.64
186527,KOLGOAN DOLAS,148.44,5.75
186570,WADGAON RASAI,148.41,2.45
185663,NANGAON,145.16,2.1
185626,DAPODI,142.56,6.2
185636,HATVALAN,147.89,1.88
186553,SADALGAON,149.35,0.88
186532,MANDAVGAN PHARATA,153.5,2.56
185641,KANGAON,150.93,2.44
186489,BABHULSAR BK.,154.65,0.71
,,159.47,2.42
186504,GANEGAON DUMALA,157.21,2.63
186565,TANDALI,159.96,4.9
186509,INAMGOAN,158.08,6.96
186547,PIMPALSUTI,156.14,7.33
186559,SHIRASGAON KATA,152.41,8.46
186495,CHINCHANI,155.1,13.14
186558,SHINDODI,152.2,15.77
186534,MOTEWADI,144.88,15.42
186541,NIMONE,146.05,14.57
186507,GUNAT,149.16,12.53
186542,NIRVI,148.59,8.73
186537,NHAVARE,143.75,7.99
186484,AMBALE,139.32,8.04
186494,CHAVHANWADI,142.04,13.87
186517,KARDE,138.09,11.5
186506,GOLEGAON,141.03,16.4
,,136.67,16.09
186560,SHIRUR GRAMIN,137.98,18.8
186572,WADNER KH.,123.14,32.07
186552,RAWADEWADI,123.58,23.18
186539,NIMGAON DUDE,125.33,23.64
186563,TAKALI HAJI,127.3,25.64
298906,MHASE BK,131.63,21.9
,,132.0,18.39
186518,KAREGAON,133.37,13.66
186490,BABHULSAR KH.,134.21,10.35
186501,DHOKSANGAVI,129.84,13.54
186550,RANJANGAON GANPATI,128.9,9.24
186548,PIMPRI DUMALA,125.5,12.19
186561,SONESANGAVI,126.65,14.9
186538,NIMGAON BHOGI,129.49,16.68
186485,AMADABAD,127.48,18.92
186496,CHINCHOLI MORACHI,118.85,18.69
186531,MALTHAN,123.23,19.0
186575,WAGHOLE,123.51,13.85
186574,WARUDE,120.24,15.64
186546,PIMPALEKHALSA,117.35,13.94
186508,HIVARE,116.23,15.51
186499,DHAMARI,112.25,14.07
186526,KHAIRENAGAR,111.62,17.2
186514,KANHURMESAI,116.21,20.93
185319,MANDALEWADI,112.27,20.73
185343,RANMALA,110.73,22.52
185304,KHADAKWADI,110.12,23.53
185334,PONDEWADI,111.67,26.21
186556,SAVINDANE,113.79,24.63
186522,KAWATHE,118.55,27.05
,,121.89,28.53
186493,CHANDOH,117.51,33.17
186503,PHAKATE,120.31,31.9
298905,SHARADWADI,120.17,36.2
186549,PIMPARKHED,114.59,32.89
185280,DEVGAON,114.05,31.06
185311,LAKHANGAON,114.18,29.06
185302,KATHAPUR BK.,110.66,27.31
186521,KATHAPUR KH.,111.91,30.08
185328,PARGAON T. AWASARI BK.,107.59,25.5
185297,JAWALE,104.63,24.52
185320,MENGADEWADI,103.45,20.31
185296,JARKARWADI,107.07,23.07
185314,LONI,107.7,19.47
185281,DHAMANI,106.35,20.66
185326,PAHAD DARA,103.18,18.55
185349,SHIRDALEWADI,103.52,17.59
186084,GADAKHWADI,104.17,15.78
186067,CHINCHBAIWADI,102.15,16.0
186185,WAFGAON,99.86,13.04
186095,JAVULKE BK.,98.92,13.93
,,98.06,15.75
185267,AWASARI BK.,100.15,18.12
185325,NIRGUDSAR,103.38,22.01
185355,TAWHAREWADI,99.53,19.69
185337,PIMPALGAON T. MAHALUNGE,97.77,19.25
185268,AWASARI KH.,95.58,16.58
185283,DHONDMALA SHINDEWADI,96.59,17.28
185283,DHONDMALA SHINDEWADI,95.22,14.35
185331,PETH,91.45,9.75
185354,TAMBADEMALA,92.49,12.83
185346,SHEWALWADI,92.56,14.16
185324,NIGHOTWADI,90.32,13.15
185358,THUGAON,87.39,9.53
186130,MIRAJEWADI,85.4,5.87
185271,BHAVADI,87.96,8.37
185301,KAREGAON,89.66,10.25
186053,BAHIRWADI,86.82,5.65
186138,PADALI,87.48,3.89
186139,PANGARI,86.03,3.28
186116,KOHINKARWADI,87.72,2.8
,,89.86,4.63
186156,SANDBHORWADI,89.22,4.7
186178,WARACHI BHAMBURWADI,91.14,5.13
186094,JAIDWADI,92.33,7.71
185329,PARGAON T. KHED,95.54,11.28
186091,GULANI,95.77,8.35
186189,WAKALWADI,97.69,9.14
186151,RETWADI,95.64,5.62
186110,KHARPUDI BK.,93.31,2.73
186096,JAVULKE KH.,93.92,5.43
186079,KHALCHI BHAMBURWADI,92.74,5.54
186171,TAKALKARWADI,91.81,2.84
,,91.11,3.16
186147,RAKSHEWADI,90.54,2.29
,,89.21,1.65
186158,SATKARSTHAL,87.41,1.31
186063,CHANDOLI,88.6,0.08
186167,SHIROLI,88.76,1.21
186127,MANJAREWADI,91.19,1.17
186093,HOLEWADI,90.83,1.52
186109,KHARPUDI KH.,92.2,0.71
186190,WAKI BK.,90.2,1.52
186191,WAKI KH.,90.09,2.96
,,90.35,4.85
186102,KALUS,95.14,1.14
186137,NIMGAON,96.35,2.79
186072,DAWADI,99.72,4.46
186070,CHINCHOSHI,103.95,4.98
186100,KANHERSAR,101.75,8.86
186090,GOSASI,99.03,7.9
186179,WARUDE,101.71,12.4
186145,PUR,103.7,11.57
,,105.91,12.3
,,108.15,13.94
186543,PABAL,106.38,14.38
,,105.95,15.74
185361,WADGAON PIR,110.22,20.28
,,109.45,17.4
,,107.53,11.86
186523,KENDUR,106.66,9.05
186545,PIMPALE JAGTAP,109.7,4.62
186573,WAJEWADI,109.55,3.88
186515,KARANDI,110.71,7.57
186058,BAHUL,105.42,2.71
186163,SIDDHEGAVHAN,105.9,1.7
186488,APTI,106.06,0.31
185775,TULAPUR,104.45,2.61
185757,PHULGAON,106.67,2.15
185784,VADHU KH.,109.11,1.3
186571,WADHU BK.,109.93,1.81
186529,KOREGAON BHIMA,112.75,1.52
186502,DIGRAJWADI*,115.04,1.11
185713,DONGARGAON,112.59,2.79
185755,PERANE,110.77,2.0
185705,BAKORI,109.36,5.09
185781,WADEBOLHAI,109.79,7.91
185756,PETH,111.31,11.72
185751,NAYGAON,110.1,11.21
185774,THEUR,107.31,13.01
185733,KOLVADI SASHTE,107.36,10.63
237299,JAMBHULWADI / KOLEWADI,104.3,13.2
185747,MANJARI KH.,101.55,13.85
185703,AVHALWADI,101.86,11.81
,,100.63,12.43
185785,WAGHOLI,103.0,9.16
185726,KESNAND,105.64,8.91
185741,LONIKAND,107.31,5.09
185706,BHAVADI,103.7,6.6
185746,MANJARI BK.,98.81,16.83
,,97.15,15.05
,,94.57,16.44
,,90.57,19.43
,,91.57,16.06
,,93.82,13.85
,,92.37,13.99
,,92.45,11.76
,,91.9,9.65
,,92.94,9.9
186065,CHARHOLI KH.,95.79,6.08
,,95.87,9.95
185754,NIRGUDI,98.82,7.08
185782,VADGAON-SHINDE,100.39,7.08
186087,GOLEGAON,102.02,5.33
186128,MARKAL,101.85,2.12
186168,SOLU,99.0,4.87
186077,DHANORE,97.26,6.67
186183,WADGAON GHENAND,97.64,2.66
186118,KOYALI T. CHAKAN,101.72,1.5
237306,PIMPALGAON T. KHED,100.56,2.31
186160,SHELGAON,97.81,0.56
186057,BHOSE,95.25,2.73
186149,RASE,93.0,5.02
,,94.37,6.48
186105,KELGAON,92.63,7.28
186069,CHIMBALI,90.5,9.12
186129,MEDANKARWADI,89.89,8.46
186097,KADACHIWADI,91.43,6.38
186135,NANEKARWADI,88.19,8.11
186124,KURULI,87.92,10.7
186132,MOI,85.82,13.26
186136,NIGHOJE,84.32,12.3
186112,KHALUMBRE,80.45,15.18
186276,SUDVADI,77.31,16.98
186197,YELWADI,78.24,17.18
186157,SANGURDI,77.27,18.78
,,78.67,18.36
,,80.99,16.51
,,82.27,16.85
,,81.4,19.56
,,79.57,19.62
,,79.09,22.52
,,82.53,20.8
,,83.39,18.7
,,85.9,18.21
,,85.21,15.3
,,88.36,13.32
,,90.12,11.77
,,88.89,16.45
,,86.99,20.15
185696,AHIRE,84.85,21.17
,,85.26,21.82
,,89.24,17.9
,,81.64,27.5
,,81.45,25.76
185696,AHIRE,81.94,25.99
186307,BAWDHAN BK.,78.65,29.89
,,77.97,29.89
186313,BHUGAON,75.8,32.36
186379,SUS,77.91,29.0
,,79.38,28.16
186350,MAHALUNGE,78.47,27.31
,,80.94,25.02
,,82.89,23.53
,,83.15,21.47
,,81.65,22.38
,,79.88,24.64
,,79.46,24.06
186356,MARUNJI,75.92,27.57
,,73.33,29.64
186353,MAN,73.48,30.72
186329,HINJAWADI,77.35,27.28
186363,NANDE,75.61,30.53
186348,LAVALE,73.52,33.42
186360,MULKHED,71.86,34.09
186318,CHANDE,72.94,32.35
186327,GHOTAWADE,69.19,35.47
186311,BHARE,69.89,36.34
186334,KASARAMBOLI,67.81,38.72
186299,AMBADVET,66.74,39.44
186322,DARAWALI,65.38,40.56
,,66.83,38.35
186359,MUGAWADE,65.52,39.11
186374,RIHE,66.95,36.5
186335,KASARSAI,71.51,31.24
186245,KUSGAON P.M.,69.3,33.14
186259,PACHANE,67.16,34.61
186213,CHANDKHED,69.06,31.06
186210,BEBED OHOL,66.11,31.15
186218,DHAMANE,69.75,27.95
186224,GODUMBRE,71.21,27.45
186264,SALUMBRE,72.55,27.13
186216,DARUMBRE,72.2,28.69
186265,SANGAVADE,74.82,26.38
186366,NERE,74.52,28.06
186330,JAMBE,76.54,26.17
,,78.24,24.74
,,76.98,23.09
,,75.38,23.74
186222,GAHUNJE,74.15,24.86
186272,SHIRGAON,72.62,25.49
,,71.79,23.62
,,76.67,21.13
186106,KANHEWADI T. CHAKAN,76.68,20.02
186226,INDURI,74.91,19.79
186292,WARELE,70.87,22.54
,,68.32,24.78
186275,SOMATANE,71.07,25.62
186260,PARANDVADI,68.77,27.39
186287,URSE,66.05,29.44
,,66.28,26.93
186267,SATE,66.33,24.95
186206,AMBI,68.67,22.6
186204,AMBALE,67.16,21.16
186256,NIGADE,65.05,19.18
186229,KALHAT,62.53,17.39
186187,WAHAGAON,65.88,15.54
186165,SHIVE,68.67,15.79
186150,RONDHALWADI,70.78,12.83
186140,PAIT,72.88,10.07
186104,KARANJVIHIRE,73.81,13.71
186254,NAVLAKH UMBRE,72.11,17.41
186253,NANOLI T. CHAKAN,72.72,19.98
237307,JAMBAWADE,75.61,17.8
186277,SUDUMBARE,78.49,15.35
186164,SHINDE,76.93,14.99
186196,WASULI,78.77,13.89
186054,BHAMBOLI,79.83,11.67
186194,WARALE,81.79,10.36
186159,SAWARDARI,80.53,12.8
186126,MHALUNGE,83.16,11.12
186108,KHARABWADI,86.47,8.09
186060,BIRADWADI,86.39,6.56
186152,ROHKAL,87.45,4.68
186088,GONAWADI,85.92,5.54
186044,AMBETHAN,84.01,8.11
186119,KOREGAON KH.,82.07,8.38
186064,CHANDUS,83.46,4.77
186144,PIMPRI BK.,86.11,3.96
186184,WADGAON T. KHED,86.16,1.28
186081,DONDE,84.33,1.13
186115,KIWLE,81.06,5.71
186125,KURKUNDI,78.69,7.36
186120,KOREGAON BK.,81.13,7.72
186161,SHELU,79.39,10.27
186049,AASKHED BK.,77.52,9.96
186048,ASKHED KH.,77.35,11.78
186075,DHAMANE,75.15,11.11
186121,KOYE,75.82,9.15
186172,TALAWADE,74.96,6.45
186113,KOHINDE BK.,74.86,4.85
186085,GARGOTWADI,77.2,4.73
186099,KADUS,81.1,1.56
186043,AKHARWADI,84.07,2.43
186142,PAPALWADI,84.49,3.7
186066,CHAS,82.61,2.71
186154,SAYGAON,79.2,0.17
,,79.81,1.6
186107,KANHEWADI BK.,81.08,4.68
186131,MOHKAL,81.22,3.86
186103,KAMAN,82.55,4.5
185309,KURWANDI,84.19,8.2
186098,KADADHE,79.4,3.68
,,77.0,3.43
186180,WETALE,76.86,0.68
259681,KOYALI TARF WADA,73.9,0.34
186153,SABURDI,74.13,2.6
273769,DAREKWADI,74.44,2.43
186155,SAKURDI,70.96,1.36
186170,SURKUNDI,70.06,0.67
186068,CHIKHALGAON,68.32,0.98
186101,KALMODI,66.13,1.23
186199,YENIYE KH.,66.92,3.22
186074,DEVOSHI,68.38,3.46
186050,AVDAR,66.53,6.36
186188,WAJVANE,69.44,4.26
186195,WASHIRE,71.01,4.83
,,73.22,7.97
186042,AHIRE,69.23,11.43
186092,HEDRUJ,68.71,8.75
186041,ADGAON,63.82,9.2
186141,PALU,66.18,9.69
186176,TORANE BK.,67.55,12.78
186073,DESHMUKHWADI,64.68,14.42
186047,ANAWALE,64.93,12.15
186173,TEKWADI,63.07,12.18
186117,KOLIYE,61.81,14.28
186186,WAGHU,61.4,11.74
186169,SUPE,61.99,9.34
186051,AWANDHE,60.27,8.94
186123,KUDE KH.,64.79,5.35
186122,KUDE BK.,62.84,5.68
186198,YENIYE BK.,64.97,3.23
186086,GHOTAWADI,60.28,7.0
186076,DHAMANGOAN KH.,60.65,6.52
186162,SHENDURLI,61.86,5.28
186080,DHUVOLI,61.47,6.5
186166,SHIRGAON,60.42,8.21
186134,NAYPHAD,64.4,6.23
186114,KHAROSHI,66.05,3.31
186078,DEHANE,63.42,4.56
186082,EKLAHARE,64.18,2.93
186089,GOREGAON,67.93,0.77
186174,TIFANWADI,71.16,1.88
186192,WALAD,70.41,3.47
186052,AWHAT,68.19,3.28
185339,POKHARI,67.17,8.4
185293,GORHE KH.,68.9,6.54
185292,GORHE BK.,71.59,7.52
185285,DIMBE KH.,72.03,9.7
185307,KOLTAWADE,70.34,11.3
185284,DIMBE BK.,71.77,10.65
185264,AMBEGAON GAVTHAN,71.62,12.79
185341,RAJEWADI,68.81,9.69
185298,KALAMB,68.2,11.76
185294,JAMBHORI,64.72,12.04
185277,CHIKHALI,64.04,9.38
185352,TALEGHAR,61.56,9.95
185332,PHALODE GROUP,61.66,13.54
185310,KUSHIRE BK.,65.4,15.1
185266,ASANE,65.47,18.68
185359,TIRPAD,61.37,19.3
185946,HATVIJ,63.24,23.17
185919,BHIVADE BK.,66.08,24.55
185920,BHIVADE KH.,66.39,22.72
185907,AMBE,66.92,21.1
185951,INGALUN,69.15,22.09
185909,AMBOLI,68.53,25.38
186026,UTCHIL,70.78,23.86
185999,PUR,71.22,26.06
186016,SONAVALE,71.59,21.92
185938,GHANGALDARE,72.79,20.85
186017,SUKALVEDHE,70.38,18.5
185317,MALIN,67.75,17.98
185327,PANCHALE BK.,69.23,14.47
185272,BHORGHAR,72.7,16.32
185929,DATKHILWADI,78.26,19.22
186021,TAMBE,76.23,19.95
185949,HIVARE T. MINHER,74.39,20.04
186009,SHINDE,74.38,22.54
186002,RALEGAN,75.94,22.45
186037,VANEWADI,74.62,24.04
185932,DHALEWADI T. MINHER,73.09,23.74
185926,CHAVAND,73.99,26.35
186000,RAJOR,78.63,28.85
186024,TEJUR,77.47,26.57
186019,SURALE,77.91,24.75
185911,APTALE,76.24,24.39
185924,BOTARDE,78.11,22.98
185984,NIRGUDE,81.62,25.47
185962,KHANGAON,79.35,25.24
185959,KHAMGAON,81.77,30.14
185975,MANIK DOH,80.91,27.26
185996,PIMPALGON,85.3,30.66
185987,PADALI,84.84,28.38
186015,SOMATWADI,84.01,26.86
185970,KUSUR,84.21,24.92
,,84.14,23.32
185918,BELSAR,80.2,23.47
186040,YENERE,80.91,22.22
185954,KALE,79.35,20.84
185925,BUCHAKEWADI,80.66,19.0
185991,PARUNDE,82.91,20.08
185957,KATEDE,83.31,22.11
185928,CHINCHOLI,84.75,19.88
185265,AMBODI,81.69,16.06
185306,KOLDARA GONWADI,82.52,13.93
185287,GANGAPUR KH.,78.45,16.13
185300,KANSE,75.91,13.1
185335,PHULAWADE,74.78,14.76
185316,MAHALUNGE T. GHODA,73.78,11.6
185350,SUPEDHAR,73.91,10.6
185348,SHINOLI,76.06,10.69
185288,GANGAPUR BK.,78.47,13.41
185263,AMBEDARA,76.62,7.65
185333,PHALADEWADI / UGALEWADI,74.49,7.84
186182,WADA,73.16,3.76
185353,TALEKARWADI,77.77,7.69
185282,DHAKALE,77.8,6.15
185345,SAL BABHULWADI,78.71,8.66
185336,PIMPALGAON T. GHODA,78.57,11.08
185283,DHONDMALA SHINDEWADI,81.28,12.03
185299,KALEWADI DAREKARWADI,80.52,10.19
185279,CHINCHOLI,84.12,14.07
185290,GHODEGAON,83.71,12.04
185308,KOLAWADI KOTAMDARA,81.97,8.76
185312,PINGALEWADI LANDEWADI,85.34,11.68
185278,CHINCHODI,87.49,12.52
298895,Walunjwadi,89.78,13.6
185360,WADGAON KASHIMBEG,90.53,15.75
185276,CHAS,87.58,15.88
185323,NARODI,86.71,14.19
185291,GIRWALI,84.85,17.07
185963,KHILARWADI,87.65,20.59
186008,SAVARGAON,89.65,22.55
185315,MAHALUNGE PADWAL,89.53,19.33
185351,TAKEWADI,93.06,21.36
185943,GUNJALWADI,93.45,24.81
186038,VARULWADI,96.06,25.53
185298,KALAMB,95.24,22.23
185322,NANDUR,92.41,18.97
185364,VITTHALWADI,92.34,19.71
185344,SAKORE,90.65,17.2
185318,MANCHAR,93.75,16.82
185286,EKLAHARE,93.79,18.76
185275,CHANDOLI KH.,96.63,19.53
185303,KHADAKI,99.93,22.13
185274,CHANDOLI BK.,97.8,22.14
185295,JADHAVWADI,102.2,26.91
185357,THORANDALE,101.58,25.0
185270,BHARADI,102.24,23.14
185321,NAGAPUR,104.8,26.3
185347,SHINGAVE,109.14,28.8
185362,WALATI,108.27,30.55
185342,RANJANI,105.0,28.67
185964,KHODAD,104.35,30.78
186018,SULTANPUR,109.42,33.98
186013,SHIROLI T. ALE,108.44,34.18
185922,BORI KH.,107.95,35.01
186033,VADGAONKANDALI,106.03,34.39
185976,MANJARWADI,101.48,27.21
185313,LOUKI,98.05,24.23
185950,HIVRE T. NARAYANGAON,100.28,28.25
185978,NARAYANGAON,98.23,28.92
186039,YEDGAON,100.2,32.67
185921,BHORWADI,101.44,32.2
185956,KANDALI,104.56,34.61
185995,PIMPALWANDI,106.65,38.48
186036,VADGAON ANAND,109.73,43.23
185998,PIMPARIPENDHAR,105.82,41.49
185960,KHAMUNDI,103.05,41.3
185937,DUMBARWADI,100.7,39.72
185955,KALWADI,102.76,36.97
186028,UMBRAJ NO.1,99.39,34.66
185947,HIVRE BK.,97.46,34.55
185935,DHOLWAD,98.55,36.61
186025,TIKEKARWADI,96.82,37.22
185948,HIVARE KH.,95.68,35.17
185979,NETVAD,94.18,35.77
186023,TEJEWADI,93.76,32.5
186011,SHIROLI KH.,92.0,32.36
186012,SHIROLI BK.,91.77,29.6
237305,VIGNHAHARNAGAR,95.19,32.78
185986,OZHARJUNE,96.34,32.74
185934,DHANGARWADI,96.36,30.08
185912,ARVI,94.46,27.57
185993,PIMPALGAON T.NARAYANGAON,92.24,25.29
185969,KURAN,92.4,28.15
185931,DHALEWADI HAVELI,94.34,30.33
185961,KHANAPUR,89.3,27.05
186034,VADGAONSAHANI,90.63,25.77
185916,BASTI,89.23,24.76
185980,NIMGAON T. MHA,87.9,24.2
185981,NIMDARI,86.95,21.2
186032,VADAJ,85.96,22.84
185933,DHAMNKHEL,86.93,25.91
,,87.1,29.35
185901,AGAR,86.84,29.73
185901,AGAR,88.74,28.6
185968,KUMSHET,90.25,31.57
,,88.76,29.71
185941,GOLEGAON,88.71,31.91
185904,ALDARE,86.99,32.24
185906,ALME,87.8,35.09
185914,BALLALWADI,91.12,35.05
,,87.73,37.3
185967,KOPARE,88.97,43.05
,,89.07,39.99
185994,PIMPALGAON JOGA,92.7,42.11
185973,MANDAVE,93.22,44.12
185927,CHILHEWADI,97.52,46.79
185902,AHINAVEWADI,97.77,43.81
186027,UDAPUR,94.82,40.28
185972,MANDARNE,95.93,42.24
185936,DINGORE,92.33,38.79
185985,OTUR,99.19,40.97
186004,ROHKADI,100.02,44.13
185908,AMBEGHAVAN,100.17,46.68
186006,SAGNORE,84.46,41.03
185965,KHUBI,80.93,40.59
185990,PARGOAN T. MADH,80.37,35.74
185971,MADH,83.43,37.76
185988,PANGRI T. MADH,84.47,35.84
185940,GODRE,84.47,32.91
185945,HADSAR,79.47,31.59
186014,SITEWADI,80.84,33.77
186031,UNDEKHADAK,77.01,29.41
185961,KHANAPUR,75.49,30.68
237304,KHIRE,74.49,29.99
185958,KEWADI,75.13,28.18
185983,NIMGIRI,76.26,32.91
186020,TALERAN,77.19,35.76
185930,DEVALE,73.27,32.49
185903,ANJNAVALE,70.63,33.41
185953,JALVANDI,72.26,29.05
185939,GHATGHAR,68.32,29.84
185992,PEMDARAWADI,126.53,53.15
185910,ANE,123.51,50.05
186010,SHINDEWADI,127.84,56.51
185977,NALAVANE,119.7,49.75
185905,ALE,111.57,42.97
,,114.46,47.06
185966,KOLWADI,114.63,45.47
185923,BORI BK.,111.1,38.67
186001,RAJURI,114.87,42.93
185944,GUNJALWADI BELHE,116.2,42.45
186030,UNCHKHADAKWADI,117.49,46.86
185915,BANGARWADI,119.74,45.96
185942,GULUNCHWADI,121.19,46.14
299369,Zapwadi,118.74,40.16
186003,RANMALA,119.26,42.03
186005,SAKORI T. BELHA,115.62,39.07
185917,BELHE,117.44,41.97
186022,TAMBEWADI,114.66,40.23
185952,JADHAVWADI,113.08,38.23
185982,NIMGAON SAVA,112.13,35.75
185989,PARGOAN T. ALE,114.82,35.46
185913,AURANGPUR,112.22,34.33
185269,BHAGADI,111.83,32.46
185997,PIMPRI KAVAL,117.93,36.56
185974,MANGALUR,117.01,38.34
185810,CHANDGAON,197.7,0.01
185647,KHANOTA,185.1,1.8
185666,NAYGAON,182.53,0.29
185693,VATLUJ,180.2,0.75
185659,MALTHAN,175.44,1.59
185637,HINGANIBERDI,172.61,1.76
185681,SHIRAPUR,174.51,0.7
185673,PEDGAON,173.18,2.04
185689,VADGAON DAREKAR,170.25,1.01
185628,DEULGAONRAJE,170.58,3.0
185616,ALEGAON,167.52,2.34
185616,ALEGAON,161.4,1.24
,,160.84,3.57
185650,KHORODI,164.35,3.61
185656,LINGALI,160.44,6.12
185658,MALADPATAS,161.58,9.97
185620,BORIBEL,167.73,6.69
185661,NANDADEVI,165.72,11.96
185678,RAVANGAON,165.25,10.23
185442,SHIRSUPHAL,160.86,15.67
185381,GADIKHEL,161.25,18.94
185433,PARWADI,166.48,15.51
185882,SHETPHALGADHE,170.15,12.67
185866,PIMPALE,173.88,8.88
185427,NIMBODI,171.16,11.17
185645,KHADAKI,170.08,8.65
185657,LONARWADI,172.25,4.29
185623,CHINCHOLI,175.41,7.41
185804,BHIGWAN,179.28,4.18
,,179.04,4.53
185677,RAJEGAON,181.3,1.99
185816,DIKASAL,181.93,1.8
185887,TAKRARWADI,180.46,1.86
,,179.27,3.23
185850,MADANWADI,176.11,6.19
185843,KUMBHARGOAN,181.14,2.41
185799,BHADALWADI,179.71,6.26
185871,PONDWADI,177.1,6.72
185792,AKOLE,176.65,11.05
185834,KALAS,180.87,10.28
185884,SHINDEWADI,172.24,16.61
185841,KAZAD,174.41,15.49
185857,NIMBODI,169.08,19.44
185845,LAKADI,169.74,17.51
185860,NIRGUDE,173.14,12.02
185853,MHASOBAWADI,169.47,15.38
185440,SAVAL,165.88,19.36
185386,JAINAKWADI,166.34,16.84
185403,KATPHAL,163.16,19.77
185383,GOJUBABI,158.39,24.58
,,160.09,24.43
185456,VANJARWADI,163.28,21.09
,,163.11,22.29
,,161.83,24.57
185436,PIMPALI,162.56,25.05
185393,KANHERI,165.05,22.19
185397,KATEWADI,166.54,21.69
185377,DHEKALWADI,165.09,24.59
185891,TAWSHI,165.78,26.04
185446,SONGAON,162.76,28.13
185460,ZARGADWADI,161.34,27.91
185379,DORLEWADI,159.39,28.74
185384,GUNWADI,159.05,28.09
185429,NIRAVAGAJ,154.76,33.22
185420,MEKHALI,158.51,31.31
185382,GHADAGEWADI,156.12,33.3
185844,KURAVALI,169.07,26.76
185828,JAMB,168.35,26.0
185852,MANKARWADI,166.94,27.84
185893,UDHAT,166.59,26.76
,,167.08,25.31
185865,PAWARWADI,168.16,25.05
259679,SAPKALWADI,167.23,23.83
185876,SANSAR,169.21,21.52
185826,JACHAKVASTI,170.41,21.59
185798,BELAWADI,171.6,22.02
185892,THORATWADI,169.97,23.53
185847,LASURNE,172.94,22.99
185808,BORI,174.3,17.8
,,174.68,19.36
185801,BHARANEWADI,178.28,17.61
,,175.59,19.87
185872,RANGOAN,176.43,23.7
185870,PITHEWADI,171.96,24.81
185811,CHIKHALI,170.76,27.19
185833,KALAMB,174.45,25.69
185858,NIMSAKHAR,179.19,20.66
185859,NIRWANGI,182.48,16.24
185878,SARAPHWADI,184.67,14.92
185869,PITAKESHWAR,186.85,14.51
185820,GHORPADWADI,182.73,17.5
185823,GOTANDI,184.83,17.74
185831,KACHARWADI N.K.,187.91,16.49
185898,VYAHALI,187.71,14.13
185881,SHELGOAN,182.57,16.34
185824,HAGARWADI,181.96,20.4
185885,SHIRSATWADI,179.92,21.35
185793,ATHURNE,177.65,20.96
185832,KADBANWADI,184.34,13.21
185875,RUI,186.41,7.94
185814,DALAJ NO.1,183.71,3.0
185815,DALAJ NO.3,185.83,3.44
185863,PALASDEV,191.05,2.64
185848,LONI DEVKAR,193.85,6.37
185855,NHAVI,189.93,8.87
185892,THORATWADI,186.78,10.72
185840,KOUTHALI,191.94,11.3
185806,BIJWADI,196.68,7.31
185796,BALPUDI,194.31,8.64
185803,BHAWADI,196.81,2.27
185790,AGOTI NO.2,199.61,1.45
185896,WARKUTE BK.,197.72,4.88
299397,Karewadi,199.19,3.8
185836,KALTHAN NO.1,201.62,1.5
185789,AGOTI NO.1,201.46,0.79
185835,KALASHI,202.86,0.83
185819,GANJEVALAN,205.81,0.01
185837,KALTHAN NO.2,202.65,2.75
185817,GALANDWADI NO.1,202.1,4.92
,,200.94,7.61
185889,TARANGWADI,197.41,9.99
185856,NIMGAON KETAKI,190.55,14.7
185897,WARKUTE KH.,191.12,11.82
261946,GAKHOLI,195.56,11.43
185900,ZHAGADEWADI,195.12,9.71
185839,KATI,189.71,10.5
185873,REDA,187.95,10.89
185883,SHETPHAL HAVELI,193.14,6.73
185886,SURWAD,196.02,3.26
185864,PANDHARWADI,194.79,8.03
185899,WADAPURI,197.22,6.25
185794,AWSARI GROUP,200.46,3.28
185800,BHANDGAON,198.64,1.45
185795,BABHULGAON,205.1,1.25
185802,BHATNIMGAON,202.62,1.28
185818,GALANDWADI NO.2,203.43,4.56
185877,SARDEWADI,206.01,3.15
185825,HINGANGAON,208.44,1.69
185880,SHAHA,208.51,0.49
185838,KANDALGAON,212.8,1.36
185890,TARATGAON,210.77,0.34
,,212.21,0.17
185791,AJOTI,209.33,0.15
185851,MALWADI,205.21,3.68
185868,PIMPRI KH.,206.3,2.69
185862,PADASATHAL,209.47,1.97
185854,NARSINHPUR,207.81,1.96
185821,GIRWI,205.74,4.76
185888,TANNU,204.47,2.22
185867,PIMPARI BK.,201.54,2.57
185822,GONDI,202.27,5.07
185822,GONDI,198.89,4.0
185849,LUMEWADI,197.46,6.04
185861,NIRNIMGAON,190.1,8.15
185879,SARATI,195.05,5.34
185830,KACHARWADI BAWADA,192.49,6.38
185797,BAWADA,195.71,2.2
185894,WAKILWASTI,198.05,0.23
185894,WAKILWASTI,195.03,3.13
185805,BHODANI,192.13,5.95
185846,LAKHEWADI,190.08,7.35
